Nº,Nombre,Total.Por mil ‰
1,MARIA CARMEN,627.634,29.220
2,MARIA,543.536,25.304
3,CARMEN,346.528,16.133
4,ANA MARIA,258.286,12.025
5,LAURA,254.313,11.840
6,MARIA PILAR,252.817,11.770
7,MARIA DOLORES,246.514,11.477
8,ISABEL,243.481,11.335
9,JOSEFA,239.200,11.136
10,MARIA TERESA,238.812,11.118
11,ANA,236.205,10.997
12,MARTA,226.315,10.536
13,CRISTINA,222.047,10.337
14,MARIA ANGELES,216.368,10.073
15,LUCIA,214.609,9.991
16,MARIA ISABEL,199.024,9.266
17,MARIA JOSE,198.387,9.236
18,FRANCISCA,188.346,8.768
19,ANTONIA,182.862,8.513
20,PAULA,175.075,8.151
21,DOLORES,169.441,7.888
22,SARA,168.863,7.861
23,MARIA LUISA,148.037,6.892
24,ELENA,146.573,6.824
25,RAQUEL,146.276,6.810
26,ROSA MARIA,143.902,6.699
27,MANUELA,133.173,6.200
28,MARIA JESUS,132.622,6.174
29,PILAR,129.508,6.029
30,CONCEPCION,129.419,6.025
31,JULIA,125.910,5.862
32,MERCEDES,124.506,5.796
33,ALBA,123.463,5.748
34,BEATRIZ,121.114,5.638
35,NURIA,119.356,5.557
36,SILVIA,117.539,5.472
37,IRENE,116.867,5.441
38,PATRICIA,109.293,5.088
39,ROCIO,109.004,5.075
40,ROSARIO,107.513,5.005
41,ANDREA,106.204,4.944
42,JUANA,105.391,4.907
43,MONTSERRAT,105.106,4.893
44,ENCARNACION,104.157,4.849
45,TERESA,103.640,4.825
46,MONICA,100.351,4.672
47,ALICIA,99.538,4.634
48,MARIA MAR,98.707,4.595
49,SONIA,96.128,4.475
50,SANDRA,95.473,4.445
51,MARINA,94.645,4.406
52,SUSANA,94.104,4.381
53,ANGELA,91.375,4.254
54,YOLANDA,90.421,4.210
55,ROSA,89.630,4.173
56,NATALIA,88.259,4.109
57,SOFIA,85.226,3.968
58,CLAUDIA,83.952,3.908
59,CARLA,83.206,3.874
60,MARIA JOSEFA,81.892,3.813
61,MARGARITA,81.445,3.792
62,EVA,80.331,3.740
63,INMACULADA,76.766,3.574
64,ANA ISABEL,75.470,3.514
65,MARIA ROSARIO,75.388,3.510
